Apps,Accept,Enroll,Top10perc,Top25perc,F.Undergrad,P.Undergrad,Outstate,Room.Board,Books,Personal,PhD,Terminal,S.F.Ratio,perc.alumni,Expend,Grad.Rate,Accept_Rate,Private_Yes,Grad_Category_Medium_Grad_Rate,Grad_Category_High_Grad_Rate
0.11868956658665429,0.19523112175928162,1.3203954242223326,23,52,2885,537,-0.824530782533015,-0.9922973238277063,450,2200,0.6526315789473683,78,0.418230563002681,0.2,-0.5928867404727654,0.4368932038834951,0.6161320218840622,1,1,0
0.5404991808949846,1.10075577198693,0.46796959844531105,16,29,2683,1227,0.5409177153100713,2.1060265078082265,750,1500,0.2210526315789474,30,0.26005361930294907,0.26666666666666666,0.7149103933872498,0.39805825242718446,0.8215578949280218,1,0,0
-0.06735573858355982,0.018575301266893527,-0.24986267589323344,22,50,1036,99,0.2503367333310673,-0.5496796335940015,400,1165,0.47368421052631576,66,0.27882037533512066,0.5,0.04262913582065569,0.3786407766990291,0.6548991805158788,1,0,0
-1.0577262208474152,-1.2258668119794849,-1.395947159354205,16,44,249,869,-0.7906766875451698,-0.18574953273517766,800,1500,0.7157894736842104,72,0.2520107238605898,0.03333333333333333,0.8630973893352435,0.0,0.6374342688900603,1,0,0
-0.741769969825586,-0.7901157880982609,-0.9758521351674432,38,62,678,41,0.8851010143531632,-0.9578715034761959,500,675,0.6210526315789473,73,0.18498659517426275,0.18333333333333332,0.4147848319735917,0.3883495145631068,0.7260748813202513,1,0,0
-0.9294191138334743,-0.9720058551237567,-1.2001747208982383,17,45,416,230,0.8258563481244342,1.388002254762439,500,1500,0.863157894736842,93,0.24128686327077747,0.43333333333333335,0.08989891174330683,0.4660194174757281,0.9451704285844833,1,1,0
0.3103483076887283,0.8338091987984326,0.37416197168516035,37,68,1594,32,0.9889202389825549,0.5086684434981457,450,850,0.8526315789473684,100,0.3002680965147453,0.6166666666666667,1.0750610670836396,0.5631067961165048,0.85966232717494,1,1,0
-0.38010431193004046,-0.31903360011855925,-0.6944292548869911,30,63,973,306,1.4761370893492924,0.08965703007690524,300,500,0.7473684210526316,84,0.23592493297587136,0.3833333333333333,1.13396070851107,0.6310679611650485,0.7145684820493696,1,0,1
-0.7457795669197717,-0.7652531170659989,-0.9187518406177863,21,44,799,78,0.02972088099361002,-0.9136097344528255,660,1800,0.3368421052631579,41,0.24128686327077747,0.25,0.13866931547302627,0.3592233009708738,0.7851167787981888,1,0,0
0.17642776474292762,0.44778351698173274,0.3048258997320055,37,75,1830,110,1.744995027044429,1.0791534664660318,500,600,0.7789473684210526,88,0.23592493297587136,0.5166666666666666,0.8668489588529142,0.5631067961165048,0.736101639550943,1,1,0
0.9141936300730871,1.0693502927882834,0.35376900934599714,44,77,1707,44,1.8950815148238758,0.12900082476434566,400,600,0.6842105263157894,91,0.19839142091152817,0.6833333333333333,1.1590962242794638,0.5922330097087378,0.5778269314979285,1,0,1
-0.2670336738740051,-0.3962387364818992,-0.4374779294135348,38,64,1130,638,-0.18976650151091912,0.46834105394351927,600,1000,0.5473684210526315,84,0.289544235924933,0.35,-0.255620640834167,0.5728155339805825,0.4961453222965167,1,0,1
-0.19646476501633772,-0.0036702464988146023,-0.05001164496943411,44,73,1306,28,0.6232960131138277,0.23916344988917884,400,400,0.7473684210526316,87,0.3431635388739947,0.5333333333333333,0.25646859832788704,0.5145631067961165,0.7802589497474546,1,1,0
-0.8163484757774391,-1.0073370192222344,-0.9799307276352759,23,46,1317,1235,-0.5672396606253921,-0.6578750689844627,650,2449,0.2947368421052632,69,0.23056300268096513,0.43333333333333335,-0.18546629085372446,0.3883495145631068,0.4544961372700696,1,0,0
-0.07377109393425686,0.013341054733785732,-0.7229794021618196,9,22,1018,287,-0.4690627851606413,0.4634230796075892,450,1400,0.7368421052631579,84,0.32707774798927614,0.31666666666666665,-0.4750874576179045,0.5242718446601942,0.6571488484255408,1,1,0
-0.23736265537703133,-0.2287428474224498,0.10497486880820618,19,40,1819,281,-0.07409834363578166,-0.775906453046784,550,1100,0.4210526315789474,61,0.257372654155496,0.23333333333333334,-0.2353621654387451,0.42718446601941745,0.6228940838448478,1,1,0
-0.3063277253970245,-0.49568942061094734,-0.3069629704428904,14,23,1586,326,-0.10343855929191409,-1.1988522459367685,900,1320,0.5684210526315789,66,0.24128686327077747,0.3,0.8578451920105045,0.30097087378640774,0.4387228529392389,1,0,0
1.6262980740004582,1.2015150177492553,2.523580202232961,24,54,4190,1512,-1.4762221110490334,-0.7050876226093912,500,2000,0.5473684210526315,62,0.5522788203753352,0.08333333333333333,-1.7299874612787622,0.1844660194174757,0.3527358371535518,0,0,0
-0.7161085484227978,-0.7416990076670137,-0.7270579946296523,20,51,1251,767,0.23848780008532156,-0.18181515326643363,350,1615,0.4947368421052632,65,0.2734584450402145,0.4166666666666667,-0.7643334674303175,0.48543689320388345,0.7522619128747638,1,1,0
-0.6447377201462933,-0.9798572249234184,-0.9432233954247821,46,74,530,182,-0.4848613628216357,-0.3805013164380077,500,800,0.7473684210526316,88,0.2707774798927614,0.4,2.235046361947428,0.3786407766990291,0.21352567607351652,1,0,0
0.17803160358060188,0.8455862534979252,2.2584716918238392,12,52,3602,939,-1.9473582662965445,-1.631633987498613,450,1000,0.5157894736842105,60,0.45844504021447724,0.08333333333333333,-1.4564980434405663,0.3203883495145631,0.9957069384460835,0,0,0
